Mã trường,Trường,Loại trường,Tỉnh/TP,Mã ngành,Ngành,Trình độ,Tên chương trình,Loại CT,Ngôn ngữ,Số năm,Năm TS,Chỉ tiêu,Phương thức,Học phí,Mã nhóm,Nhóm ngành
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480101,Khoa học máy tính,Đại học chính quy,Khoa học máy tính,Chương trình đại trà,Tiếng Việt,4,2023,220,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480107,Trí tuệ nhân tạo,Đại học chính quy,Trí tuệ nhân tạo,Chương trình đại trà,Tiếng Việt,4,2023,43,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480102,Mạng máy tính và truyền thông dữ liệu,Đại học chính quy,Mạng máy tính và truyền thông dữ liệu,Chương trình đại trà,Tiếng Việt,4,2023,201,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480103,Kỹ thuật phần mềm,Đại học chính quy,Kỹ thuật phần mềm,Chương trình đại trà,Tiếng Việt,4,2023,225,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480104,Hệ thống thông tin,Đại học chính quy,Hệ thống thông tin,Chương trình đại trà,Tiếng Việt,4,2023,177,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480104_TT,Hệ thống thông tin (CT Tiên tiến),Đại học chính quy,Hệ thống thông tin (CT Tiên tiến),Chương trình tiên tiến,Tiếng Anh,4,2023,71,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,50.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7340122,Thương mại điện tử,Đại học chính quy,Thương mại điện tử,Chương trình đại trà,Tiếng Việt,4,2023,132,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,ECO,Kinh doanh và quản lý
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480201,Công nghệ thông tin,Đại học chính quy,Công nghệ thông tin,Chương trình đại trà,Tiếng Việt,4,2023,120,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480201_N,Công nghệ thông tin (Việt Nhật),Đại học chính quy,Công nghệ thông tin (Việt Nhật),Chương trình liên kết quốc tế,Tiếng Việt/Tiếng Nhật,4,2023,111,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Trường Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7460108,Khoa học dữ liệu,Đại học chính quy,Khoa học dữ liệu,Chương trình đại trà,Tiếng Việt,4,2023,60,Xét tuyển thẳng; Ưu tiên xét tuyển thẳng; Xét điểm thi THPT; Xét ĐGNL ĐHQG-HCM; Xét chứng chỉ quốc tế,33.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
