Trường đại học,Chương trình đào tạo,Ngành đào tạo,Mã ngành,Chỉ tiêu tuyển sinh,Trình độ đào tạo,Địa điểm đào tạo,Năm tuyển sinh
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ kỹ thuật điện tử - viễn thông,7510302,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,"Công nghệ Kỹ thuật điện, điện tử",7510301,260,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật điện tử - viễn thông,7510302,160,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật máy tính,7480108,156,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật điều khiển và tự động hóa,7510303,240,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Kỹ thuật y sinh,7520212,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Hệ thống nhúng và IoT,7480118,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Robot và trí tuệ nhân tạo,7510209,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ chế tạo máy,7510202,268,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật cơ điện tử,7510203,235,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật cơ khí,7510201,192,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Kỹ thuật công nghiệp,7520117,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Kỹ nghệ gỗ và nội thất,7549002,50,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật công trình xây dựng,7510102,200,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Kỹ thuật xây dựng công trình giao thông,7580205,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Quản lý xây dựng,7580302,50,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Hệ thống kỹ thuật công trình xây dựng,7510106,50,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Quản lý và vận hành hạ tầng,7840110,50,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật ô tô,7510205,240,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ Kỹ thuật nhiệt,7510206,130,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Năng lượng tái tạo,7510208,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Công nghệ may,7540209,160,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Quản lý công nghiệp,7510601,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Kế toán,7340301,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Thương mại điện tử,7340122,148,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ Kỹ thuật TP. Hồ Chí Minh,Chương trình đào tạo bằng tiếng Việt,Logistics và quản lý chuỗi cung ứng,7510605,140,Đại học,TP. Hồ Chí Minh,2026
