Mã trường,Trường,Loại trường,Tỉnh/TP,Mã ngành,Ngành,Trình độ,Tên chương trình,Loại CT,Ngôn ngữ,Số năm,Năm TS,Chỉ tiêu,Phương thức,Học phí,Mã nhóm,Nhóm ngành
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480101,Khoa học Máy tính,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,280,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480102,Mạng máy tính và truyền thông dữ liệu,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,200,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480103,Kỹ thuật phần mềm,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,240,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480104,Hệ thống thông tin,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,180,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480104-TT,Hệ thống thông tin (tiên tiến),Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình tiên tiến,Tiếng Anh/Tiếng Việt,4,2025,80,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"55,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480106,Kỹ thuật máy tính,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,220,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480201,Công nghệ Thông tin,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,120,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480201-VN,Công nghệ Thông tin,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình Việt Nhật,Tiếng Việt/Tiếng Nhật,4,2025,130,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480202,An toàn thông tin,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,180,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480107,Trí tuệ nhân tạo,Đại học chính quy,Máy tính và công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2025,40,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,75202a1,Thiết kế vi mạch,Đại học chính quy,Kỹ thuật,Chương trình chuẩn,Tiếng Việt,4,2025,100,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",ENG,Kỹ thuật và công nghệ
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7340122,Thương mại điện tử,Đại học chính quy,Kinh doanh và quản lý,Chương trình chuẩn,Tiếng Việt,4,2025,140,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",ECO,Kinh doanh và quản lý
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7460108,Khoa học dữ liệu,Đại học chính quy,Toán và thống kê,Chương trình chuẩn,Tiếng Việt,4,2025,80,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",SCI,Khoa học tự nhiên
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7320104,Truyền thông đa phương tiện,Đại học chính quy,Báo chí và truyền thông,Chương trình chuẩn,Tiếng Việt,4,2025,60,Tuyển thẳng & ƯTXT; Thi ĐGNL; Thi THPT,"37,000,000",SOC,Khoa học xã hội
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7510301V,"Công nghệ Kỹ thuật điện, điện tử",Đại học chính quy,"Công nghệ Kỹ thuật điện, điện tử",Chương trình tiếng Việt,Tiếng Việt,4,2025,216,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,ENG,Kỹ thuật và công nghệ
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7510302V,Công nghệ Kỹ thuật điện tử - viễn thông,Đại học chính quy,Công nghệ Kỹ thuật điện tử - viễn thông,Chương trình tiếng Việt,Tiếng Việt,4,2025,164,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,ENG,Kỹ thuật và công nghệ
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7480108V,Công nghệ Kỹ thuật máy tính,Đại học chính quy,Công nghệ Kỹ thuật máy tính,Chương trình tiếng Việt,Tiếng Việt,4,2025,126,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,IT,Máy tính và công nghệ thông tin
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7510303V,Công nghệ Kỹ thuật điều khiển và tự động hóa,Đại học chính quy,Công nghệ Kỹ thuật điều khiển và tự động hóa,Chương trình tiếng Việt,Tiếng Việt,4,2025,171,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,ENG,Kỹ thuật và công nghệ
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7520212V,Kỹ thuật y sinh,Đại học chính quy,Kỹ thuật y sinh (Điện tử y sinh),Chương trình tiếng Việt,Tiếng Việt,4,2025,39,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,MED,Sức khỏe
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7480118V,Hệ thống nhúng và IoT,Đại học chính quy,Hệ thống nhúng và IoT,Chương trình tiếng Việt,Tiếng Việt,4,2025,60,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,IT,Máy tính và công nghệ thông tin
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7510302KTVM,Công nghệ Kỹ thuật điện tử - viễn thông,Đại học chính quy,Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông),Chương trình tiếng Việt,Tiếng Việt,4,2025,120,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.300.000 đ/kỳ,ENG,Kỹ thuật và công nghệ
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7510209V,Robot và trí tuệ nhân tạo,Đại học chính quy,Robot và trí tuệ nhân tạo,Chương trình tiếng Việt,Tiếng Việt,4,2025,119,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,IT,Máy tính và công nghệ thông tin
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7510202V,Công nghệ chế tạo máy,Đại học chính quy,Công nghệ chế tạo máy,Chương trình tiếng Việt,Tiếng Việt,4,2025,233,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.000.000 đ/kỳ,ENG,Kỹ thuật và công nghệ
SPK,Đại học Sư phạm Kỹ thuật Tp. HCM,Công lập,TP. HCM,7510203V,Công nghệ Kỹ thuật cơ điện tử,Đại học chính quy,Công nghệ Kỹ thuật cơ điện tử,Chương trình tiếng Việt,Tiếng Việt,4,2025,204,Xét tuyển thẳng; Thi THPT; Học bạ; ĐGNL,18.300.000 đ/kỳ,ENG,Kỹ thuật và công nghệ
